threshold,seed,split,model,acc,macro_f1,n_clusters
0.2,2,cluster,Linear SVM,0.43466172381835033,0.28609346003116,7755
0.2,2,cluster,ESM-2 650M frozen + linear probe,0.6970574606116775,0.586112058060873,7755
0.2,3,cluster,1-NN (memorisation probe),0.28954239384361685,0.22890724020285486,7755
0.2,3,cluster,Logistic Regression,0.34684622784114333,0.21058427401121227,7755
0.2,3,cluster,Linear SVM,0.3333791397553937,0.24102397939377024,7755
0.2,3,cluster,ESM-2 650M frozen + linear probe,0.6402363611378316,0.5705690152643628,7755
0.2,4,cluster,1-NN (memorisation probe),0.3001629276851736,0.2243618818187827,7755
0.2,4,cluster,Logistic Regression,0.3773655846597318,0.2331576226116873,7755
0.2,4,cluster,Linear SVM,0.351547813009149,0.24807847662260954,7755
0.2,4,cluster,ESM-2 650M frozen + linear probe,0.650582779796967,0.5601319319635302,7755
0.2,5,cluster,1-NN (memorisation probe),0.2849740932642487,0.20784730941029977,7755
0.2,5,cluster,Logistic Regression,0.3417032018068287,0.19476666129526676,7755
0.2,5,cluster,Linear SVM,0.31194366945662283,0.21258312545288796,7755
0.2,5,cluster,ESM-2 650M frozen + linear probe,0.6387671050883487,0.5674565357856478,7755
0.2,6,cluster,1-NN (memorisation probe),0.2941865573290379,0.22069329431100143,7755
0.2,6,cluster,Logistic Regression,0.36154634646361106,0.22967423507697954,7755
0.2,6,cluster,Linear SVM,0.3269878459510909,0.23083505812485963,7755
0.2,6,cluster,ESM-2 650M frozen + linear probe,0.6380143505637722,0.5576145472385956,7755
0.2,7,cluster,1-NN (memorisation probe),0.3021591765001255,0.24084349336912164,7755
0.2,7,cluster,Logistic Regression,0.3640472006025609,0.24409524054308399,7755
0.2,7,cluster,Linear SVM,0.3295254833040422,0.2586192795755394,7755
0.2,7,cluster,ESM-2 650M frozen + linear probe,0.6549083605322621,0.5774588940353818,7755
0.2,8,cluster,1-NN (memorisation probe),0.30420978363123236,0.22348978247923917,7755
0.2,8,cluster,Logistic Regression,0.39463781749764815,0.2223810991947528,7755
0.2,8,cluster,Linear SVM,0.3575964252116651,0.24220078917116267,7755
0.2,8,cluster,ESM-2 650M frozen + linear probe,0.6406396989651929,0.5461340437121673,7755
0.2,9,cluster,1-NN (memorisation probe),0.287472182222804,0.24103200732598973,7755
0.2,9,cluster,Logistic Regression,0.3366932844613169,0.21364051784969013,7755
0.2,9,cluster,Linear SVM,0.3103809399136013,0.24049781057060446,7755
0.2,9,cluster,ESM-2 650M frozen + linear probe,0.6320198978923943,0.5478662709337107,7755
0.9,0,cluster,ESM-2 650M frozen + 1-NN,0.7925369332654101,0.7429727334631409,21677
0.9,0,cluster,Alignment top-hit transfer (MMseqs2),0.8080743759551706,0.760290267038559,21677
0.9,1,cluster,ESM-2 650M frozen + 1-NN,0.7685185185185185,0.7122494594466519,21677
0.9,1,cluster,Alignment top-hit transfer (MMseqs2),0.7879129129129129,0.7395273310214646,21677
0.9,2,cluster,ESM-2 650M frozen + 1-NN,0.7909770749049896,0.7378686132526553,21677
0.9,2,cluster,Alignment top-hit transfer (MMseqs2),0.7962486208164766,0.7477688529698617,21677
0.9,3,cluster,ESM-2 650M frozen + 1-NN,0.7898120672601385,0.7311407447555569,21677
0.9,3,cluster,Alignment top-hit transfer (MMseqs2),0.8042779426310583,0.7454909307161177,21677
0.9,4,cluster,ESM-2 650M frozen + 1-NN,0.7999032180014517,0.7392363309915162,21677
0.9,4,cluster,Alignment top-hit transfer (MMseqs2),0.818291797725623,0.7594732931144209,21677
0.9,5,cluster,ESM-2 650M frozen + 1-NN,0.7858638098756311,0.7420733402688795,21677
0.9,5,cluster,Alignment top-hit transfer (MMseqs2),0.8103681812584657,0.760901825208506,21677
0.9,6,cluster,ESM-2 650M frozen + 1-NN,0.7761175750153092,0.731554454894774,21677
0.9,6,cluster,Alignment top-hit transfer (MMseqs2),0.8060012247397428,0.7668387014010378,21677
0.9,7,cluster,ESM-2 650M frozen + 1-NN,0.773852922690132,0.7172703239567558,21677
0.9,7,cluster,Alignment top-hit transfer (MMseqs2),0.8001257071024512,0.745297936895424,21677
0.9,8,cluster,ESM-2 650M frozen + 1-NN,0.7821947767914577,0.721916327380763,21677
0.9,8,cluster,Alignment top-hit transfer (MMseqs2),0.7821947767914577,0.7326270525148949,21677
0.9,9,cluster,ESM-2 650M frozen + 1-NN,0.7858409321175278,0.7229971110221042,21677
0.9,9,cluster,Alignment top-hit transfer (MMseqs2),0.7966058763931104,0.7354785297141104,21677
0.7,0,cluster,ESM-2 650M frozen + 1-NN,0.7606524212921988,0.7165219765354636,18688
0.7,0,cluster,Alignment top-hit transfer (MMseqs2),0.7988367682387154,0.7641268142055818,18688
0.7,1,cluster,ESM-2 650M frozen + 1-NN,0.7703947368421052,0.7243236226949964,18688
0.7,1,cluster,Alignment top-hit transfer (MMseqs2),0.7810526315789473,0.7250028656576405,18688
0.7,2,cluster,ESM-2 650M frozen + 1-NN,0.7669022536338178,0.705321202194089,18688
0.7,2,cluster,Alignment top-hit transfer (MMseqs2),0.7893052406987598,0.724927493686659,18688
0.7,3,cluster,ESM-2 650M frozen + 1-NN,0.7659680638722555,0.7127011488821354,18688
0.7,3,cluster,Alignment top-hit transfer (MMseqs2),0.7848053892215568,0.7191750432909003,18688
0.7,4,cluster,ESM-2 650M frozen + 1-NN,0.7522851919561243,0.6955084932148333,18688
0.7,4,cluster,Alignment top-hit transfer (MMseqs2),0.7773570122747454,0.717339828525243,18688
0.7,5,cluster,ESM-2 650M frozen + 1-NN,0.7512891709639032,0.6998595444971588,18688
0.7,5,cluster,Alignment top-hit transfer (MMseqs2),0.7727092423641412,0.7215855974413463,18688
0.7,6,cluster,ESM-2 650M frozen + 1-NN,0.7458870872292579,0.6898071730433378,18688
0.7,6,cluster,Alignment top-hit transfer (MMseqs2),0.7857734643153036,0.7348113785292387,18688
0.7,7,cluster,ESM-2 650M frozen + 1-NN,0.7558431766775572,0.6948034585095862,18688
0.7,7,cluster,Alignment top-hit transfer (MMseqs2),0.7631314400603166,0.7199100425296682,18688
0.7,8,cluster,ESM-2 650M frozen + 1-NN,0.7633206157084594,0.6926014285877837,18688
0.7,8,cluster,Alignment top-hit transfer (MMseqs2),0.7862123404815156,0.714932564941388,18688
0.7,9,cluster,ESM-2 650M frozen + 1-NN,0.762720156555773,0.7089984678738603,18688
0.7,9,cluster,Alignment top-hit transfer (MMseqs2),0.7879158512720157,0.7481757018827982,18688
0.5,0,cluster,ESM-2 650M frozen + 1-NN,0.7662676306744103,0.6837753363679469,15272
0.5,0,cluster,Alignment top-hit transfer (MMseqs2),0.7782387104421002,0.6911983431167091,15272
0.5,1,cluster,ESM-2 650M frozen + 1-NN,0.76453934174826,0.6983189748290083,15272
0.5,1,cluster,Alignment top-hit transfer (MMseqs2),0.7766898666981243,0.7082416698693367,15272
0.5,2,cluster,ESM-2 650M frozen + 1-NN,0.7256454388984509,0.6594878566852572,15272
0.5,2,cluster,Alignment top-hit transfer (MMseqs2),0.7718875502008032,0.7110727357483728,15272
0.5,3,cluster,ESM-2 650M frozen + 1-NN,0.7141495301647828,0.6543575813454829,15272
0.5,3,cluster,Alignment top-hit transfer (MMseqs2),0.7441100367697127,0.6775595714892384,15272
0.5,4,cluster,ESM-2 650M frozen + 1-NN,0.7426488757104027,0.6723946717633907,15272
0.5,4,cluster,Alignment top-hit transfer (MMseqs2),0.7503088707684705,0.6812085299648709,15272
0.5,5,cluster,ESM-2 650M frozen + 1-NN,0.7443788468785328,0.6776318047076447,15272
0.5,5,cluster,Alignment top-hit transfer (MMseqs2),0.7777917347066952,0.7109626831776185,15272
0.5,6,cluster,ESM-2 650M frozen + 1-NN,0.7530322282545917,0.6888975554659128,15272
0.5,6,cluster,Alignment top-hit transfer (MMseqs2),0.7651611412729583,0.7013736544899625,15272
0.5,7,cluster,ESM-2 650M frozen + 1-NN,0.7214385563604016,0.6681641024471349,15272
0.5,7,cluster,Alignment top-hit transfer (MMseqs2),0.7601982462828822,0.6944009619541026,15272
0.5,8,cluster,ESM-2 650M frozen + 1-NN,0.7369480437790917,0.6848198486676942,15272
0.5,8,cluster,Alignment top-hit transfer (MMseqs2),0.7477670147188326,0.6896972054683841,15272
0.5,9,cluster,ESM-2 650M frozen + 1-NN,0.7549392097264438,0.700701597134829,15272
0.5,9,cluster,Alignment top-hit transfer (MMseqs2),0.7569655521783182,0.6979548645145582,15272
0.4,0,cluster,ESM-2 650M frozen + 1-NN,0.6717633609602743,0.6165475983339173,12735
0.4,0,cluster,Alignment top-hit transfer (MMseqs2),0.681337525007145,0.6215429294012093,12735
0.4,1,cluster,ESM-2 650M frozen + 1-NN,0.6942232334723802,0.6279776110375129,12735
0.4,1,cluster,Alignment top-hit transfer (MMseqs2),0.7241815194033624,0.672212255845227,12735
0.4,2,cluster,ESM-2 650M frozen + 1-NN,0.6887149380300065,0.6328079439190115,12735
0.4,2,cluster,Alignment top-hit transfer (MMseqs2),0.7017612524461839,0.6244333580700705,12735
0.4,3,cluster,ESM-2 650M frozen + 1-NN,0.7142169834014914,0.6279857206475696,12735
0.4,3,cluster,Alignment top-hit transfer (MMseqs2),0.7334616309838826,0.6306421641700999,12735
0.4,4,cluster,ESM-2 650M frozen + 1-NN,0.7088197146562906,0.6580645934674173,12735
0.4,4,cluster,Alignment top-hit transfer (MMseqs2),0.7020752269779507,0.6503369264969006,12735
0.4,5,cluster,ESM-2 650M frozen + 1-NN,0.7191617517881792,0.6312171205396566,12735
0.4,5,cluster,Alignment top-hit transfer (MMseqs2),0.7226753670473083,0.6376099711144234,12735
0.4,6,cluster,ESM-2 650M frozen + 1-NN,0.688479262672811,0.6308288266884535,12735
0.4,6,cluster,Alignment top-hit transfer (MMseqs2),0.6975641869651086,0.6300829943351854,12735
0.4,7,cluster,ESM-2 650M frozen + 1-NN,0.6884342202904696,0.5956700128316197,12735
0.4,7,cluster,Alignment top-hit transfer (MMseqs2),0.7533128379094668,0.6440548331730914,12735
0.4,8,cluster,ESM-2 650M frozen + 1-NN,0.7254489164086687,0.6536330931693344,12735
0.4,8,cluster,Alignment top-hit transfer (MMseqs2),0.723343653250774,0.6365763855693843,12735
